OBJECTNUMMER;FUNCTIE2_OMS;ZAAKNAAM;FUNCTIE2_ENG;FUNCTIE1_ID;FUNCTIE1_OMS;FUNCTIE1_ENG;FUNCTIE2_ID;LAAG;ADRESSEN_LIJST;ADRESSEN_VOT;ADRESSEN_AANTAL;OPPERVLAKTE_SOM;OPPERVLAKTE_NUL;CHECKDATUM;ZAAK_ID;COORDS;LNG;LAT;
20737;"Kantoor met publieksfunctie - Stadsloket - Bezoekerscentrum";"LEGER DES HEILS";"Office with public function - City desk -  Visitor center";"K";"Kantoren";"Offices";"K02";1;"Johan Jongkindstraat 61 - 112 m2<br>";"03630000692848";1;112;0;"2017-09-05";14200;"POLYGON((4.837762 52.359217,4.837929 52.359219,4.837931 52.359157,4.837764 52.359155,4.837762 52.359217))";"4,8378505";"52,3591815";
20738;"Gezondheidspraktijk";"MEDISCH CENTRUM";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Pieter Calandlaan 101 - 2481 m2<br>";"03630000774608";1;2481;0;"2017-08-20";14428;"POLYGON((4.821846 52.355711,4.821844 52.355799,4.821713 52.355798,4.821709 52.35593,4.822501 52.355939,4.822509 52.355691,4.821847 52.355683,4.821846 52.355711))";"4,822113";"52,3558055";
20740;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bullewijkpad 3 - 191 m2<br>Bullewijkpad 5 - 0 m2<br>";"03630000834300-03630000840440";2;191;1;"2018-02-05";24422;"POLYGON((4.954599 52.306927,4.954783 52.30699,4.954899 52.306862,4.954757 52.306814,4.954746 52.306826,4.954718 52.306817,4.954698 52.306839,4.95472 52.306846,4.954708 52.306859,4.954674 52.306845,4.954599 52.306927))";"4,954753";"52,306895";
20741;"Particulier beroepsonderwijs - Vakscholen - Autorijschool";"POLITIEACADEMIE";"Private Vocational schools - Driving school";"O";"Onderwijs";"Education";"O05";1;"Donauweg 3A - 17994 m2<br>";"03630001987425";1;17994;0;"2017-12-14";27524;"POLYGON((4.839446 52.396574,4.839456 52.396586,4.839831 52.396465,4.839923 52.39657,4.839546 52.396691,4.839715 52.396886,4.839817 52.396853,4.839825 52.396865,4.839853 52.39686,4.839874 52.396849,4.839863 52.396839,4.840199 52.39673,4.840109 52.396626,4.840171 52.396606,4.840178 52.396616,4.840189 52.396622,4.840203 52.396623,4.840219 52.39662,4.84023 52.396607,4.840219 52.396591,4.84028 52.396571,4.840457 52.396775,4.840777 52.396672,4.840723 52.396609,4.840742 52.396604,4.840733 52.396586,4.840719 52.396575,4.8407 52.396582,4.840522 52.396377,4.840311 52.396445,4.84028 52.396409,4.840309 52.3964,4.840281 52.396367,4.840252 52.396376,4.84022 52.39634,4.840432 52.396272,4.840254 52.396066,4.840272 52.396061,4.840263 52.396042,4.840248 52.396031,4.840229 52.396038,4.840175 52.395975,4.839855 52.396079,4.840053 52.396308,4.839882 52.396364,4.839771 52.396234,4.839435 52.396343,4.839426 52.39633,4.8394 52.396336,4.839378 52.396347,4.839389 52.396358,4.839287 52.396391,4.839446 52.396574))";"4,840036";"52,396424";
20742;"Gezondheidspraktijk";"TANDARTS";"Health practice";"Z";"Zorg";"Care";"Z01";1;"De Clercqstraat 24/H - 67 m2<br>";"03630000616838";1;67;0;"2017-07-08";5109;"POLYGON((4.871604 52.371481,4.871687 52.3715,4.871696 52.371486,4.871759 52.371381,4.871676 52.371362,4.871604 52.371481))";"4,8716855";"52,3714245";
20743;"Hotel - Logies";"MIDTOWN HOTEL";"Hotel - Lodging";"H";"Horeca";"Hotels, bars, restaurants";"H01";1;"Kinkerstraat 47/H - 124 m2<br>";"03630001008989";1;124;0;"2017-03-19";5371;"POLYGON((4.874027 52.36768,4.874111 52.367702,4.874177 52.367601,4.87409 52.367579,4.874027 52.36768))";"4,874106";"52,367633";
20744;"Kinderopvang (zelfstandig)";"PARTOU";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Admiraal De Ruijterweg 71/H - 110 m2<br>";"03630001005362";1;110;0;"2017-07-25";5977;"POLYGON((4.860375 52.371199,4.860425 52.371296,4.86054 52.371273,4.860486 52.371168,4.860448 52.371175,4.860453 52.371184,4.860375 52.371199))";"4,8604615";"52,371224";
20745;"Overige religieuze samenkomstruimten";"ISLAMIC RELIEF";"Other religious gathering space";"R";"Religie";"Religion";"R04";1;"Hudsonstraat 114 - 0 m2<br>Hudsonstraat 116 - 0 m2<br>Magalhaensplein 20/H - 55 m2<br>";"03630000674536-03630011122758-03630000732957";3;55;2;"2017-03-17";6331;"POLYGON((4.853283 52.367994,4.853427 52.368022,4.853428 52.368019,4.853546 52.368039,4.853588 52.367947,4.853344 52.367905,4.853321 52.367913,4.853283 52.367994))";"4,8534395";"52,3679665";
20746;"Kinderopvang (zelfstandig)";"TOGETHER";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"De Clercqstraat 119/H - 79 m2<br>";"03630000617155";1;79;0;"2017-07-10";6921;"POLYGON((4.865798 52.369878,4.865889 52.36988,4.865892 52.369789,4.865846 52.369789,4.865847 52.369733,4.865801 52.369733,4.865798 52.369878))";"4,865849";"52,3697995";
20747;"Kantoor - Kantoorverzamelgebouw";"";"Office - Collective offices";"K";"Kantoren";"Offices";"K01";1;"Mercatorplein 36A - 105 m2<br>";"03630000959057";1;105;0;"2017-03-19";7053;"POLYGON((4.851038 52.37047,4.851045 52.370474,4.85121 52.370505,4.8512 52.370528,4.851326 52.37055,4.851354 52.370488,4.851371 52.370449,4.851246 52.370428,4.851214 52.370422,4.851203 52.370444,4.851061 52.37042,4.851038 52.37047))";"4,8512085";"52,3704785";
20748;"Gezondheidspraktijk";"TANDARTS";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Jan van Galenstraat 176 - 84 m2<br>Jan van Galenstraat 178 - 52 m2<br>";"03630001038535-03630001038536";2;136;0;"2017-07-25";7869;"POLYGON((4.849268 52.372989,4.849213 52.373111,4.849138 52.373095,4.849139 52.373094,4.849109 52.373088,4.84901 52.373068,4.848979 52.373061,4.849005 52.373014,4.849007 52.37301,4.849007 52.37301,4.84903 52.372995,4.84905 52.37299,4.849068 52.37299,4.849073 52.37299,4.849075 52.37299,4.849078 52.372991,4.849085 52.372992,4.849121 52.372999,4.849147 52.373004,4.849148 52.373004,4.849157 52.373003,4.849157 52.37299,4.849268 52.372989))";"4,8491275";"52,373042";
20749;"Gezondheidspraktijk";"TANDARTS";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Merlijnstraat 2/H - 55 m2<br>Reinaert de Vosstraat 16 - 122 m2<br>";"03630000742401-03630000790027";2;177;0;"2017-07-25";8036;"POLYGON((4.854657 52.378683,4.854639 52.378717,4.854647 52.378718,4.854638 52.378737,4.854786 52.378767,4.854843 52.378662,4.854719 52.378635,4.854696 52.378642,4.854678 52.378653,4.854657 52.378683))";"4,8547445";"52,3786935";
20750;"Gezondheidspraktijk";"WHITE LABEL";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Admiraal De Ruijterweg 183/H - 127 m2<br>";"03630000559584";1;127;0;"2017-08-01";8091;"POLYGON((4.85798 52.375519,4.858122 52.375536,4.858145 52.375463,4.857988 52.375445,4.857981 52.375467,4.857996 52.375468,4.85798 52.375519))";"4,8580665";"52,3754835";
20751;"Kinderopvang (zelfstandig)";"KINDERVALLEI";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Admiraal De Ruijterweg 177/H - 178 m2<br>";"03630000559560";1;178;0;"2017-08-01";8094;"POLYGON((4.858033 52.375299,4.85819 52.375317,4.858213 52.375244,4.85807 52.375227,4.858054 52.375278,4.858039 52.375276,4.858033 52.375299))";"4,858127";"52,375266";
20752;"Kantoor met publieksfunctie - Stadsloket - Bezoekerscentrum";"BUURTDIENSTEN";"Office with public function - City desk -  Visitor center";"K";"Kantoren";"Offices";"K02";1;"Knollendamstraat 7A - 50 m2<br>";"03630001039341";1;50;0;"2017-08-22";8647;"POLYGON((4.877942 52.390513,4.878008 52.390533,4.878088 52.390434,4.878022 52.390414,4.877942 52.390513))";"4,878019";"52,390466";
20753;"Ontmoetings- en activiteitencentrum";"EFFE BIJ MOEDER AN";"Meeting- and activity center";"A";"Activiteiten en Ontmoeting";"Activities and Meeting";"A02";1;"Knollendamstraat 9 - 50 m2<br>";"03630001039340";1;50;0;"2017-08-22";8648;"POLYGON((4.877877 52.390493,4.877942 52.390513,4.878022 52.390414,4.877956 52.390395,4.877877 52.390493))";"4,8779535";"52,3904465";
20754;"Massagesalon";"SEN SIN MASSAGE";"Massagesalon";"D";"Detailhandel";"Retail";"D07";1;"Houtrijkstraat 42 - 49 m2<br>";"03630001039643";1;49;0;"2017-08-22";8682;"POLYGON((4.8787990 52.3891380,4.8789452 52.3891816,4.8789770 52.3891400,4.8789330 52.3891270,4.8789130 52.3891210,4.8788320 52.3890970,4.8787990 52.3891380))";"4,878887";"52,389138";
20755;"Kinderopvang (zelfstandig)";"VLINDER REGENBOOG";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Van Hogendorpstraat 195/H - 123 m2<br>";"03630001975201";1;123;0;"2017-08-06";8916;"POLYGON((4.871355 52.382495,4.871313 52.382587,4.871481 52.382616,4.871523 52.382524,4.871439 52.382509,4.871426 52.382539,4.871386 52.382532,4.871399 52.382502,4.871355 52.382495))";"4,871422";"52,382548";
